Type,No,Describe,correct
词法分析,ELN-01,数值后出现异常字符,删除非数字字符或添加空格
词法分析,ELN-02,浮点型数值小数点后未跟数字,删除小数点或添加数字
词法分析,ELN-03,浮点型数值E后未跟数字,删除E/e或者添加数字
词法分析,ELN-04,浮点型数值(+/-)后未跟数字,添加数字或删除+/-
词法分析,ELN-05,16进制数0x后未跟数字,补全16进制
词法分析,ELA-01,多行注释未闭合错误,请添加*/或删除/*
词法分析,ELS-01,字符串未闭合错误,"在字符串结尾处添加"""
词法分析,ELC-01,字符长度超限,修改字符内容或改为字符串类型
词法分析,ELC-02,8进制转译字符内出现异常字符,修改字符
词法分析,ELC-03,16进制转译字符内出现异常字符,修改字符
词法分析,ELC-04,字符未闭合错误,在字符结尾处添加'
词法分析,ELT-01,编译器无法识别的字符,删除该字符
词法分析,ELO-01,错误的运算符连接,修改此运算符
语法分析,EPD-01,定义语句关键词后非标识符错误,删除定义词或者添加标识符
语法分析,EPD-02,定义标识符语句中未以标识符开始,添加标识符
语法分析,EPD-03,定义标示符后初始化语句错误,删除或者补全初始化语句
语法分析,EPD-04,定义函数时参数错误,删除参数或者添加定义词
语法分析,EPD-05,定义函数结尾错误,删除多余字符或者添加；
语法分析,EPD-06,函数体内不能定义函数,
语法分析,EPD-07,声明语句定义错误,修改声明语句
语法分析,EPD-08,数组定义语句错误,修改数组定义
语法分析,EPD-09,数组初始长度不是整数常量错误,修改数组初始长度定义
语法分析,EPS-01,{}语句未闭合错误,添加}
语法分析,EPS-02,()语句未闭合错误,添加）
语法分析,EPS-03,单行语句未闭合错误,添加；
语法分析,EPP-01,表达式匹配错误,修改算式
语法分析,EPP-02,表达式未正常结束,修改算式
语法分析,EPP-03,表达式当前位置出现不可识别字段,修改算式
语法分析,EPP-04,错误的赋值运算符,改为=
语法分析,EPP-05,错误的赋值运算符左部,修改左部为标识符
语法分析,EPP-06,缺失赋值运算符左部,添加标识符
语法分析,EPI-01,if语句缺失判断表达式错误,补全判断语句
语法分析,EPF-01,for循环语句参数数量错误,修改for循环语句参数体
语法分析,EPW-01,do-while循环体缺失语句,补全语句
语法分析,EPW-02,while循环体缺失;,添加；
语法分析,EPW-03,while语句缺失判断表达式错误,补全判断语句
语法分析,EPR-01,函数外出现异常语句串,删除改行语句
语义分析,EMO-01,字符串不能参与运算,修改运算元素类型
语义分析,EMO-02,除数为0错误,修改除数初始值
语义分析,EMO-03,取模运算数不为整数错误,修改算符或修改数值
语义分析,EMO-04,常量和函数不能被修改错误,修改常量或函数定义为变量
语义分析,EMO-05,变量或常量未定义错误,在语句前定义该变量或常量
语义分析,EMO-06,函数声明与定义参数对应错误,修改参数定义
语义分析,EMO-07,函数重定义错误,修改函数名
语义分析,EMO-08,函数与变量或者常量重名错误,修改函数名
语义分析,EMO-09,变量声明类型不能是void,修改变量声明类型
语义分析,EMO-10,变量重名错误,修改变量名
语义分析,EMO-11,变量与函数重名错误,修改变量名
语义分析,EMO-12,跳转语句外无循环体错误,删除跳转语句或者将跳转语句放到循环体内
语义分析,EMO-13,函数缺失返回值,添加返回语句
语义分析,EMO-14,函数返回语句无效,删除返回值
语义分析,EMO-15,函数返回值类型错误,修改返回值
语义分析,EMO-16,函数未声明错误,定义该函数
语义分析,EMO-17,变量或常量不能带参数,修改为正确函数名或删除参数
语义分析,EMO-18,数组下标越界,修改数组下标
语义分析,EMO-19,函数无返回值不能参与运算,删除运算符或者修改函数
语义分析,EMO-20,函数调用参数数量错误,删除或添加参数
语义分析,EMO-21,代码中无法匹配到main函数,添加main 函数
