Type,Name,Id
Identifier,name,0
key_word,void,101
key_word,int,102
key_word,float,103
key_word,double,104
key_word,char,105
key_word,long,106
key_word,short,107
key_word,do,108
key_word,while,109
key_word,if,110
key_word,else,111
key_word,for,112
key_word,switch,113
key_word,return,114
key_word,const,115
key_word,break,116
key_word,continue,117
key_word,signed,118
key_word,unsigned,119
key_word,strcut,120
key_word,include,121
key_word,define,122
delimiter,{,201
delimiter,},202
delimiter,;,203
delimiter,",",204
delimiter,:,205
Operator,!,301
Operator,[,302
Operator,],303
Operator,(,304
Operator,),305
Operator,*,306
Operator,/,307
Operator,%,308
Operator,+,309
Operator,-,310
Operator,<,311
Operator,>,312
Operator,=,313
Operator,&,314
Operator,|,315
Operator,<=,316
Operator,>=,317
Operator,==,318
Operator,!=,319
Operator,&&,320
Operator,.,321
Operator,/=,322
Operator,*=,323
Operator,-=,324
Operator,+=,325
Operator,&=,326
Operator,|=,327
Operator,>>,328
Operator,<<,329
Operator,++,330
Operator,||,331
Operator,--,332
Operator,#,333
Word_category,Integer-10,401
Word_category,Integer-8,402
Word_category,Integer-16,403
Word_category,Char,404
Word_category,Float,405
Word_category,Float-e,406
Word_category,String,407
Translation,\n,501
Translation,\a,502
Translation,\t,503
Translation,\b,504
Translation,\o,505
Translation,\n,506
Translation,\r,507
Translation,\v,508
Translation,\f,509
Translation,\’,510
Translation,\”,511
Translation,\\,512
Translation,\?,513
Translation,\ddd,514
Translation,\xhh,515
