Type,Left,Right
Expression,表达式语句,@ 表达式 @
Expression,表达式,"表达式 , 单表达式$单表达式"
Expression,单表达式,数 = 单表达式$式子
Expression,式子,式子 || 关系运算$式子 && 关系运算$关系运算
Expression,关系运算,关系运算 < 逻辑运算$关系运算 > 逻辑运算$关系运算 <= 逻辑运算$关系运算 >= 逻辑运算$关系运算 != 逻辑运算$关系运算 == 逻辑运算$逻辑运算
Expression,逻辑运算,逻辑运算 | 移位运算$逻辑运算 & 移位运算$移位运算
Expression,移位运算,移位运算 << 加减运算$移位运算 >> 加减运算$加减运算
Expression,加减运算,加减运算 + 乘除运算$加减运算 - 乘除运算$乘除运算
Expression,乘除运算,乘除运算 * 模运算$乘除运算 / 模运算$模运算
Expression,模运算,模运算 % 括号式$括号式
Expression,括号式,( 表达式 )$运算数
Expression,运算数,-- 数$++ 数$+ 数$- 数$~ 数$* 数$! 数$数$常数$函数
Expression,数,变量$变量 [ 单表达式 ]
Expression,函数,变量 ( 函数参数 )
Expression,函数参数,"变量 , 函数参数$变量"
